,TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL,ed_bool
96,851901,YuGiOh,2012 Premium Collection Tin,Number 34: Terror-Byte,,PRC1-ENV02,Secret Rare,Near Mint Limited,0.26,,1.1,0.11,4,0,0.49,,False
103,1131201,YuGiOh,2013 Collectors Tins,Brotherhood of the Fire Fist - Bear,,CT10-EN008,Super Rare,Near Mint Limited,0.18,,1.06,0.07,128,0,0.49,,False
107,1131206,YuGiOh,2013 Collectors Tins,"Karakuri Shogun mdl 00 ""Burei""",,CT10-EN009,Super Rare,Near Mint Limited,0.42,,1.14,0.15,50,0,0.49,,False
108,1131236,YuGiOh,2013 Collectors Tins,Number 40: Gimmick Puppet of Strings,,CT10-EN011,Super Rare,Near Mint Limited,0.39,,1.09,0.1,11,0,0.49,,False
111,1146806,YuGiOh,2013 Collectors Tins,Rank-Up-Magic Barian's Force,,CT10-EN015,Super Rare,Near Mint Limited,0.31,,1.13,0.14,99,0,0.49,,False
117,1146826,YuGiOh,2013 Collectors Tins,Thunder Sea Horse,,CT10-EN016,Super Rare,Near Mint Limited,0.29,,1.15,0.16,28,0,0.49,,False
126,1252312,YuGiOh,2014 Mega-Tins,Archfiend Commander,,CT11-EN006,Super Rare,Near Mint Limited,0.22,,1.09,0.1,1,0,0.49,,False
127,1252292,YuGiOh,2014 Mega-Tins,Brotherhood of the Fire Fist - Gorilla,,CT11-EN003,Super Rare,Near Mint Limited,0.2,,1.07,0.08,117,0,0.49,,False
128,1252287,YuGiOh,2014 Mega-Tins,Brotherhood of the Fire Fist - Tiger King,,CT11-EN001,Secret Rare,Near Mint Limited,0.44,0.5,1.18,0.19,4,0,0.49,,False
129,1252307,YuGiOh,2014 Mega-Tins,Bujingi Crane,,CT11-EN005,Super Rare,Near Mint Limited,0.25,,1.08,0.09,243,0,0.49,,False
130,C-382399,YuGiOh,2014 Mega-Tins,Bujingi Crane,SPANISH Bujingi Crane,CT11-EN005,Super Rare,Near Mint Limited,,,,,1,0,0.99,https://static.tcgplayer.com/2186CCF0-50D5-4C61-8766-227ED3085F8A,False
132,1252297,YuGiOh,2014 Mega-Tins,Number 47: Nightmare Shark,,CT11-EN004,Super Rare,Near Mint Limited,0.6,,1.4,0.41,69,0,1.49,,False
133,1252629,YuGiOh,2014 Mega-Tins Mega Pack,Abyss-scale of the Mizuchi,,MP14-EN040,Common,Near Mint 1st Edition,0.51,,1.19,0.2,6,0,0.74,,False
134,1253534,YuGiOh,2014 Mega-Tins Mega Pack,"Alsei, the Sylvan High Protector",,MP14-EN221,Ultra Rare,Near Mint 1st Edition,5.25,,5.12,5.12,1,0,5.0,,False
136,1252844,YuGiOh,2014 Mega-Tins Mega Pack,Archfiend Cavalry,,MP14-EN083,Rare,Near Mint 1st Edition,0.44,,1.26,0.27,22,0,0.49,,False
137,1252849,YuGiOh,2014 Mega-Tins Mega Pack,"Archfiend Emperor, the First Lord of Horror",,MP14-EN084,Rare,Near Mint 1st Edition,0.19,,1.18,0.19,1,0,0.49,,False
139,1252954,YuGiOh,2014 Mega-Tins Mega Pack,Archfiend Palabyrinth,,MP14-EN105,Rare,Near Mint 1st Edition,1.11,,1.68,0.69,3,0,1.99,,False
142,1253114,YuGiOh,2014 Mega-Tins Mega Pack,Baby Raccoon Tantan,,MP14-EN137,Common,Near Mint 1st Edition,0.47,,1.21,0.22,7,0,0.49,,False
143,1252444,YuGiOh,2014 Mega-Tins Mega Pack,Battlin' Boxer Glassjaw,,MP14-EN003,Common,Near Mint 1st Edition,0.23,,1.09,0.1,8,0,0.49,,False
144,1252439,YuGiOh,2014 Mega-Tins Mega Pack,Battlin' Boxer Headgeared,,MP14-EN002,Common,Near Mint 1st Edition,0.26,,1.09,0.1,4,0,0.49,,False
147,1252454,YuGiOh,2014 Mega-Tins Mega Pack,Battlin' Boxer Switchitter,,MP14-EN005,Common,Near Mint 1st Edition,0.44,,1.24,0.25,2,0,0.49,,False
149,1253354,YuGiOh,2014 Mega-Tins Mega Pack,Black Dragon Collapserpent,,MP14-EN185,Common,Near Mint 1st Edition,0.08,,1.03,0.04,35,0,0.49,,False
151,1252584,YuGiOh,2014 Mega-Tins Mega Pack,Brotherhood of the Fire Fist - Cardinal,,MP14-EN031,Secret Rare,Near Mint 1st Edition,0.56,,1.29,0.3,1,0,0.99,,False
152,1252494,YuGiOh,2014 Mega-Tins Mega Pack,Brotherhood of the Fire Fist - Leopard,,MP14-EN013,Common,Near Mint 1st Edition,0.36,,1.24,0.25,1,0,0.49,,False
154,1253464,YuGiOh,2014 Mega-Tins Mega Pack,Bujin Arasuda,,MP14-EN207,Ultra Rare,Near Mint 1st Edition,1.03,,1.74,0.75,5,0,2.49,,False
157,1252939,YuGiOh,2014 Mega-Tins Mega Pack,Bujincarnation,,MP14-EN102,Rare,Near Mint 1st Edition,0.44,,1.23,0.24,16,0,0.49,,False
158,1252794,YuGiOh,2014 Mega-Tins Mega Pack,Bujingi Crane,,MP14-EN073,Rare,Near Mint 1st Edition,0.2,,1.17,0.18,18,0,0.49,,False
161,1252784,YuGiOh,2014 Mega-Tins Mega Pack,Bujingi Turtle,,MP14-EN071,Common,Near Mint 1st Edition,0.22,,1.14,0.15,17,0,0.49,,False
163,1252929,YuGiOh,2014 Mega-Tins Mega Pack,Bujintei Susanowo,,MP14-EN100,Ultra Rare,Near Mint 1st Edition,0.34,,1.23,0.24,10,0,0.49,,False
164,1253544,YuGiOh,2014 Mega-Tins Mega Pack,Bujintei Tsukuyomi,,MP14-EN223,Ultra Rare,Near Mint 1st Edition,0.6,,1.38,0.39,10,0,0.99,,False
165,1253509,YuGiOh,2014 Mega-Tins Mega Pack,"Chirubime, Princess of Autumn Leaves",,MP14-EN216,Super Rare,Near Mint 1st Edition,0.43,,1.24,0.25,11,0,0.74,,False
166,1253019,YuGiOh,2014 Mega-Tins Mega Pack,Coach Captain Bearman,,MP14-EN118,Ultra Rare,Near Mint 1st Edition,0.21,,1.13,0.14,20,0,0.49,,False
176,1252619,YuGiOh,2014 Mega-Tins Mega Pack,Fire Formation - Gyokkou,,MP14-EN038,Super Rare,Near Mint 1st Edition,0.6,,1.34,0.35,1,0,0.99,,False
177,1252529,YuGiOh,2014 Mega-Tins Mega Pack,Fire King Avatar Garunix,,MP14-EN020,Common,Near Mint 1st Edition,0.27,,1.19,0.2,14,0,0.49,,False
179,1253039,YuGiOh,2014 Mega-Tins Mega Pack,Fishborg Archer,,MP14-EN122,Common,Near Mint 1st Edition,0.25,,1.11,0.12,5,0,0.49,,False
180,1252889,YuGiOh,2014 Mega-Tins Mega Pack,"Flying ""C""",,MP14-EN092,Common,Near Mint 1st Edition,0.22,,1.14,0.15,47,0,0.49,,False
182,1252689,YuGiOh,2014 Mega-Tins Mega Pack,Geargiagear,,MP14-EN052,Super Rare,Near Mint 1st Edition,0.25,,1.15,0.16,25,0,0.49,,False
183,1253209,YuGiOh,2014 Mega-Tins Mega Pack,Genomix Fighter,,MP14-EN156,Ultra Rare,Near Mint 1st Edition,0.22,,1.13,0.14,3,0,0.49,,False
185,1253539,YuGiOh,2014 Mega-Tins Mega Pack,Ghostrick Dullahan,,MP14-EN222,Rare,Near Mint 1st Edition,1.09,,1.62,0.63,1,0,0.74,,False
186,1253439,YuGiOh,2014 Mega-Tins Mega Pack,Ghostrick Jackfrost,,MP14-EN202,Common,Near Mint 1st Edition,0.29,,1.21,0.22,27,0,0.49,,False
187,1253139,YuGiOh,2014 Mega-Tins Mega Pack,Ghostrick Jiangshi,,MP14-EN142,Common,Near Mint 1st Edition,0.46,,1.3,0.31,2,0,1.49,,False
192,1253219,YuGiOh,2014 Mega-Tins Mega Pack,Granmarg the Mega Monarch,,MP14-EN158,Secret Rare,Near Mint 1st Edition,0.92,,1.86,0.87,68,0,1.49,,False
194,1253494,YuGiOh,2014 Mega-Tins Mega Pack,Gravekeeper's Ambusher,,MP14-EN213,Common,Near Mint 1st Edition,0.28,,1.13,0.13,7,0,0.49,,False
198,1252589,YuGiOh,2014 Mega-Tins Mega Pack,Harpie's Pet Phantasmal Dragon,,MP14-EN032,Rare,Near Mint 1st Edition,0.97,,1.73,0.74,2,0,1.49,,False
199,1253579,YuGiOh,2014 Mega-Tins Mega Pack,Hidden Temples of Necrovalley,,MP14-EN230,Rare,Near Mint 1st Edition,0.9,,1.6,0.61,1,0,1.24,,False
200,1252634,YuGiOh,2014 Mega-Tins Mega Pack,Hysteric Sign,,MP14-EN041,Super Rare,Near Mint 1st Edition,1.06,,1.62,0.63,1,0,1.49,,False
202,1252594,YuGiOh,2014 Mega-Tins Mega Pack,King of the Feral Imps,,MP14-EN033,Common,Near Mint 1st Edition,0.37,,1.14,0.15,4,0,0.49,,False
205,1253214,YuGiOh,2014 Mega-Tins Mega Pack,"Mariña, Princess of Sunflowers",,MP14-EN157,Super Rare,Near Mint 1st Edition,0.39,,1.19,0.2,11,0,0.49,,False
206,1252884,YuGiOh,2014 Mega-Tins Mega Pack,Masked Chameleon,,MP14-EN091,Ultra Rare,Near Mint 1st Edition,1.28,,1.66,0.67,1,0,1.99,,False
207,1252809,YuGiOh,2014 Mega-Tins Mega Pack,Mecha Phantom Beast Blue Impala,,MP14-EN076,Ultra Rare,Near Mint 1st Edition,0.36,,1.23,0.24,3,0,0.99,,False
208,1252579,YuGiOh,2014 Mega-Tins Mega Pack,Mecha Phantom Beast Dracossack,,MP14-EN030,Secret Rare,Near Mint 1st Edition,9.65,,8.69,8.69,2,0,9.24,,False
212,1253254,YuGiOh,2014 Mega-Tins Mega Pack,Meliae of the Trees,,MP14-EN165,Secret Rare,Near Mint 1st Edition,1.01,,1.53,0.54,2,0,5.99,,False
214,1252509,YuGiOh,2014 Mega-Tins Mega Pack,Mermail Abyssocea,,MP14-EN016,Common,Near Mint 1st Edition,0.45,,1.08,0.08,10,0,0.49,,False
215,1252694,YuGiOh,2014 Mega-Tins Mega Pack,Mind Drain,,MP14-EN053,Common,Near Mint 1st Edition,0.46,,1.23,0.24,12,0,0.74,,False
219,1253099,YuGiOh,2014 Mega-Tins Mega Pack,Mythic Tree Dragon,,MP14-EN134,Common,Near Mint 1st Edition,0.19,,1.09,0.1,13,0,0.49,,False
225,1252924,YuGiOh,2014 Mega-Tins Mega Pack,Number 66: Master Key Beetle,,MP14-EN099,Super Rare,Near Mint 1st Edition,0.62,,1.24,0.25,2,0,0.99,,False
233,1252609,YuGiOh,2014 Mega-Tins Mega Pack,Rank-Up-Magic Barian's Force,,MP14-EN036,Ultra Rare,Near Mint 1st Edition,0.7,,1.31,0.32,1,0,0.99,,False
236,1252544,YuGiOh,2014 Mega-Tins Mega Pack,Risebell the Star Adjuster,,MP14-EN023,Common,Near Mint 1st Edition,0.27,,1.14,0.15,38,0,0.49,,False
242,1252559,YuGiOh,2014 Mega-Tins Mega Pack,Shark Fortress,,MP14-EN026,Common,Near Mint 1st Edition,0.3,,1.23,0.24,41,0,0.49,,False
244,1253614,YuGiOh,2014 Mega-Tins Mega Pack,Skill Prisoner,,MP14-EN237,Super Rare,Near Mint 1st Edition,0.27,,1.16,0.17,16,0,0.49,,False
253,1253409,YuGiOh,2014 Mega-Tins Mega Pack,Sylvan Peaskeeper,,MP14-EN196,Rare,Near Mint 1st Edition,0.3,,1.24,0.25,1,0,0.49,,False
254,1252874,YuGiOh,2014 Mega-Tins Mega Pack,"Talaya, Princess of Cherry Blossoms",,MP14-EN089,Super Rare,Near Mint 1st Edition,0.51,,1.3,0.31,13,0,0.74,,False
257,1252709,YuGiOh,2014 Mega-Tins Mega Pack,Totem Bird,,MP14-EN056,Secret Rare,Near Mint 1st Edition,0.69,,1.29,0.3,3,0,1.49,,False
259,1252854,YuGiOh,2014 Mega-Tins Mega Pack,Traptrix Atrax,,MP14-EN085,Rare,Near Mint 1st Edition,0.88,,1.48,0.49,1,0,2.49,,False
260,1252859,YuGiOh,2014 Mega-Tins Mega Pack,Traptrix Myrmeleo,,MP14-EN086,Rare,Near Mint 1st Edition,0.99,,1.49,0.5,23,0,1.24,,False
266,1253309,YuGiOh,2014 Mega-Tins Mega Pack,Vampire Takeover,,MP14-EN176,Super Rare,Near Mint 1st Edition,1.22,,1.46,0.47,3,0,3.49,,False
267,1253349,YuGiOh,2014 Mega-Tins Mega Pack,White Dragon Wyverburster,,MP14-EN184,Common,Near Mint 1st Edition,0.21,,1.2,0.21,33,0,0.49,,False
268,1252539,YuGiOh,2014 Mega-Tins Mega Pack,Windrose the Elemental Lord,,MP14-EN022,Secret Rare,Near Mint 1st Edition,0.4,,1.2,0.21,9,0,0.49,,False
271,2954218,YuGiOh,2015 Mega-Tins,"Castel, the Skyblaster Musketeer",,CT12-EN006,Super Rare,Near Mint Limited,0.35,,1.09,0.1,1,0,0.49,,False
273,2954198,YuGiOh,2015 Mega-Tins,Elder Entity Norden,,CT12-EN003,Super Rare,Near Mint Limited,1.12,,1.92,0.93,1,0,1.99,,False
274,2954203,YuGiOh,2015 Mega-Tins,Majesty's Fiend,,CT12-EN004,Super Rare,Near Mint Limited,0.21,,1.12,0.13,111,0,0.49,,False
281,2954254,YuGiOh,2015 Mega-Tins Mega Pack,Artifact Beagalltach,,MP15-EN007,Common,Near Mint 1st Edition,0.22,,1.15,0.16,10,0,0.49,,False
296,2954369,YuGiOh,2015 Mega-Tins Mega Pack,"Cairngorgon, Antiluminescent Knight",,MP15-EN030,Super Rare,Near Mint 1st Edition,0.77,,1.49,0.5,5,0,1.24,,False
298,2954654,YuGiOh,2015 Mega-Tins Mega Pack,"Chiwen, Light of the Yang Zing",,MP15-EN087,Ultra Rare,Near Mint 1st Edition,2.99,3.44,2.84,1.85,1,0,2.99,,False
299,2954984,YuGiOh,2015 Mega-Tins Mega Pack,Cloudcastle,,MP15-EN125,Common,Near Mint 1st Edition,0.31,,1.09,0.1,1,0,0.49,,False
301,2955749,YuGiOh,2015 Mega-Tins Mega Pack,Dance Princess of the Nekroz,,MP15-EN213,Rare,Near Mint 1st Edition,0.63,,1.42,0.43,16,0,0.99,,False
304,2954679,YuGiOh,2015 Mega-Tins Mega Pack,Deskbot 001,,MP15-EN092,Common,Near Mint 1st Edition,0.15,,1.08,0.09,4,0,0.74,,False
305,2955281,YuGiOh,2015 Mega-Tins Mega Pack,Deskbot 002,,MP15-EN156,Common,Near Mint 1st Edition,0.38,,1.26,0.27,24,0,0.49,,False
306,2955774,YuGiOh,2015 Mega-Tins Mega Pack,Deskbot 003,,MP15-EN218,Common,Near Mint 1st Edition,0.61,,1.18,0.19,2,0,0.74,,False
307,2954819,YuGiOh,2015 Mega-Tins Mega Pack,Doomstar Magician,,MP15-EN120,Ultra Rare,Near Mint 1st Edition,0.36,,1.27,0.28,12,0,0.49,,False
310,2955301,YuGiOh,2015 Mega-Tins Mega Pack,El Shaddoll Grysta,,MP15-EN160,Secret Rare,Near Mint 1st Edition,0.84,,1.68,0.69,1,0,1.99,,False
316,2954974,YuGiOh,2015 Mega-Tins Mega Pack,"Felis, Lightsworn Archer",,MP15-EN123,Ultra Rare,Near Mint 1st Edition,0.83,,1.64,0.65,1,0,1.49,,False
318,2954509,YuGiOh,2015 Mega-Tins Mega Pack,Flash Knight,,MP15-EN058,Rare,Near Mint 1st Edition,0.2,,1.14,0.15,15,0,0.49,,False
320,2955211,YuGiOh,2015 Mega-Tins Mega Pack,Fluffal Cat,,MP15-EN142,Common,Near Mint 1st Edition,0.56,,1.44,0.45,4,0,0.99,,False
321,2955201,YuGiOh,2015 Mega-Tins Mega Pack,Fluffal Dog,,MP15-EN140,Rare,Near Mint 1st Edition,1.22,,1.96,0.97,1,0,1.99,,False
323,2955206,YuGiOh,2015 Mega-Tins Mega Pack,Fluffal Owl,,MP15-EN141,Rare,Near Mint 1st Edition,0.39,,1.41,0.42,6,0,0.74,,False
326,2954514,YuGiOh,2015 Mega-Tins Mega Pack,Foucault's Cannon,,MP15-EN059,Super Rare,Near Mint 1st Edition,0.16,,1.11,0.12,4,0,0.49,,False
327,2955291,YuGiOh,2015 Mega-Tins Mega Pack,Frightfur Bear,,MP15-EN158,Rare,Near Mint 1st Edition,0.49,,1.39,0.4,9,0,0.74,,False
328,2955296,YuGiOh,2015 Mega-Tins Mega Pack,Frightfur Wolf,,MP15-EN159,Rare,Near Mint 1st Edition,0.39,,1.24,0.25,14,0,0.49,,False
329,2955426,YuGiOh,2015 Mega-Tins Mega Pack,Fusion Reserve,,MP15-EN185,Ultra Rare,Near Mint 1st Edition,0.53,,1.36,0.37,17,0,0.99,,False
330,2954234,YuGiOh,2015 Mega-Tins Mega Pack,Galaxy Tyranno,,MP15-EN003,Rare,Near Mint 1st Edition,0.42,,1.33,0.34,1,0,0.49,,False
335,2955699,YuGiOh,2015 Mega-Tins Mega Pack,Infernoid Antra,,MP15-EN203,Super Rare,Near Mint 1st Edition,0.7,,1.44,0.45,12,0,0.74,,False
337,2955724,YuGiOh,2015 Mega-Tins Mega Pack,Infernoid Attondel,,MP15-EN208,Common,Near Mint 1st Edition,0.23,,1.14,0.15,64,0,0.49,,False
340,2955709,YuGiOh,2015 Mega-Tins Mega Pack,Infernoid Patrulea,,MP15-EN205,Rare,Near Mint 1st Edition,0.43,,1.33,0.34,29,0,0.49,,False
341,2955714,YuGiOh,2015 Mega-Tins Mega Pack,Infernoid Piaty,,MP15-EN206,Common,Near Mint 1st Edition,0.27,,1.16,0.17,41,0,0.49,,False
342,2955719,YuGiOh,2015 Mega-Tins Mega Pack,Infernoid Seitsemas,,MP15-EN207,Common,Near Mint 1st Edition,0.25,,1.19,0.2,52,0,0.49,,False
345,2955764,YuGiOh,2015 Mega-Tins Mega Pack,Lightning Rod Lord,,MP15-EN216,Super Rare,Near Mint 1st Edition,0.23,,1.14,0.15,10,0,0.49,,False
348,2955794,YuGiOh,2015 Mega-Tins Mega Pack,Metaphys Horus,,MP15-EN222,Ultra Rare,Near Mint 1st Edition,0.56,,1.17,0.18,13,0,0.49,,False
350,2955839,YuGiOh,2015 Mega-Tins Mega Pack,Nekroz Cycle,,MP15-EN231,Rare,Near Mint 1st Edition,0.61,,1.44,0.45,4,0,0.99,,False
353,2955266,YuGiOh,2015 Mega-Tins Mega Pack,Night Dragolich,,MP15-EN153,Ultra Rare,Near Mint 1st Edition,0.42,,1.32,0.33,7,0,0.49,,False
355,2955441,YuGiOh,2015 Mega-Tins Mega Pack,Number 39: Utopia Beyond,,MP15-EN188,Super Rare,Near Mint 1st Edition,4.17,7.15,3.16,2.17,2,0,5.0,,False
356,2954494,YuGiOh,2015 Mega-Tins Mega Pack,Number 42: Galaxy Tomahawk,,MP15-EN055,Common,Near Mint 1st Edition,0.58,,1.41,0.38,10,0,0.49,,False
362,2954979,YuGiOh,2015 Mega-Tins Mega Pack,Panzer Dragon,,MP15-EN124,Rare,Near Mint 1st Edition,0.59,,1.48,0.49,1,0,0.99,,False
363,2954994,YuGiOh,2015 Mega-Tins Mega Pack,Performapal Trampolynx,,MP15-EN127,Rare,Near Mint 1st Edition,0.42,,1.18,0.19,6,0,0.49,,False
364,2954529,YuGiOh,2015 Mega-Tins Mega Pack,Performapal Whip Snake,,MP15-EN062,Rare,Near Mint 1st Edition,0.31,,1.14,0.15,2,0,0.49,,False
367,2954649,YuGiOh,2015 Mega-Tins Mega Pack,"Pulao, Wind of the Yang Zing",,MP15-EN086,Super Rare,Near Mint 1st Edition,0.28,,1.19,0.2,21,0,0.49,,False
370,2955221,YuGiOh,2015 Mega-Tins Mega Pack,Qliphort Scout,,MP15-EN144,Ultra Rare,Near Mint 1st Edition,0.92,,1.48,0.49,1,0,1.24,,False
371,2955734,YuGiOh,2015 Mega-Tins Mega Pack,Qliphort Stealth,,MP15-EN210,Ultra Rare,Near Mint 1st Edition,1.87,,2.48,1.49,1,0,2.49,,False
374,2955894,YuGiOh,2015 Mega-Tins Mega Pack,Re-qliate,,MP15-EN242,Common,Near Mint 1st Edition,0.25,,1.2,0.21,2,0,0.49,,False
381,2955231,YuGiOh,2015 Mega-Tins Mega Pack,Satellarknight Sirius,,MP15-EN146,Rare,Near Mint 1st Edition,0.36,,1.18,0.19,9,0,0.49,,False
383,2954604,YuGiOh,2015 Mega-Tins Mega Pack,Satellarknight Unukalhai,,MP15-EN077,Common,Near Mint 1st Edition,0.26,,1.1,0.1,54,0,0.49,,False
384,2954599,YuGiOh,2015 Mega-Tins Mega Pack,Satellarknight Vega,,MP15-EN076,Common,Near Mint 1st Edition,0.38,,1.19,0.2,29,0,0.49,,False
386,2954794,YuGiOh,2015 Mega-Tins Mega Pack,Shaddoll Core,,MP15-EN115,Super Rare,Near Mint 1st Edition,0.86,,1.42,0.43,1,0,1.49,,False
388,2954609,YuGiOh,2015 Mega-Tins Mega Pack,Shaddoll Falco,,MP15-EN078,Rare,Near Mint 1st Edition,0.36,,1.22,0.23,22,0,0.49,,False
389,2954734,YuGiOh,2015 Mega-Tins Mega Pack,Shaddoll Fusion,,MP15-EN103,Super Rare,Near Mint 1st Edition,1.94,,2.22,1.23,1,0,2.49,,False
390,2954614,YuGiOh,2015 Mega-Tins Mega Pack,Shaddoll Hedgehog,,MP15-EN079,Common,Near Mint 1st Edition,0.23,,1.14,0.15,57,0,0.49,,False
391,2955246,YuGiOh,2015 Mega-Tins Mega Pack,Shaddoll Hound,,MP15-EN149,Common,Near Mint 1st Edition,0.21,,1.13,0.14,2,0,0.49,,False
401,2954634,YuGiOh,2015 Mega-Tins Mega Pack,"Suanni, Fire of the Yang Zing",,MP15-EN083,Super Rare,Near Mint 1st Edition,0.59,,1.4,0.41,2,0,1.49,,False
402,2954564,YuGiOh,2015 Mega-Tins Mega Pack,Superheavy Samurai Big Benkei,,MP15-EN069,Rare,Near Mint 1st Edition,1.03,,1.68,0.69,2,0,1.49,,False
410,2954419,YuGiOh,2015 Mega-Tins Mega Pack,Tachyon Chaos Hole,,MP15-EN040,Super Rare,Near Mint 1st Edition,0.96,,1.83,0.84,1,0,1.99,,False
411,2955251,YuGiOh,2015 Mega-Tins Mega Pack,"Taotie, Shadow of the Yang Zing",,MP15-EN150,Super Rare,Near Mint 1st Edition,0.28,,1.09,0.1,9,0,0.49,,False
412,2955844,YuGiOh,2015 Mega-Tins Mega Pack,Tenacity of the Monarchs,,MP15-EN232,Rare,Near Mint 1st Edition,1.3,,2.24,1.25,2,0,1.99,,False
414,2954764,YuGiOh,2015 Mega-Tins Mega Pack,The Monarchs Stormforth,,MP15-EN109,Common,Near Mint 1st Edition,0.3,,1.22,0.23,59,0,0.49,,False
417,2955351,YuGiOh,2015 Mega-Tins Mega Pack,Toy Vendor,,MP15-EN170,Common,Near Mint 1st Edition,0.48,,1.42,0.43,31,0,0.49,,False
418,2954309,YuGiOh,2015 Mega-Tins Mega Pack,Traptrix Dionaea,,MP15-EN018,Rare,Near Mint 1st Edition,0.89,,1.48,0.49,1,0,1.24,,False
422,2955829,YuGiOh,2015 Mega-Tins Mega Pack,Void Expansion,,MP15-EN229,Rare,Near Mint 1st Edition,0.27,,1.19,0.2,3,0,0.49,,False
423,2955889,YuGiOh,2015 Mega-Tins Mega Pack,Void Launch,,MP15-EN241,Super Rare,Near Mint 1st Edition,0.2,,1.14,0.15,3,0,0.49,,False
424,2955824,YuGiOh,2015 Mega-Tins Mega Pack,Void Seer,,MP15-EN228,Super Rare,Near Mint 1st Edition,0.41,,1.21,0.22,17,0,0.49,,False
429,3198199,YuGiOh,2016 Mega-Tins,"Aether, the Evil Empowering Dragon",,CT13-EN011,Super Rare,Near Mint Limited,0.21,,1.07,0.08,240,0,0.49,,False
442,3199394,YuGiOh,2016 Mega-Tins Mega Pack,Arisen Gaia the Fierce Knight,,MP16-EN238,Rare,Near Mint 1st Edition,2.44,,2.44,1.45,8,0,2.74,,False
443,3287411,YuGiOh,2016 Mega-Tins Mega Pack,Aroma Garden,,MP16-EN086,Common,Near Mint Unlimited,1.4,,2.18,1.19,3,0,2.24,,True
444,3198634,YuGiOh,2016 Mega-Tins Mega Pack,Aroma Garden,,MP16-EN086,Common,Near Mint 1st Edition,1.32,,2.12,1.13,1,0,1.99,,False
445,3287416,YuGiOh,2016 Mega-Tins Mega Pack,Aroma Jar,,MP16-EN071,Common,Near Mint Unlimited,0.99,,1.85,0.86,3,0,1.49,,True
446,3198559,YuGiOh,2016 Mega-Tins Mega Pack,Aroma Jar,,MP16-EN071,Common,Near Mint 1st Edition,0.74,,1.59,0.6,8,0,1.49,,False
447,3287422,YuGiOh,2016 Mega-Tins Mega Pack,Aromage Cananga,,MP16-EN070,Common,Near Mint Unlimited,0.71,,1.47,0.48,4,0,0.74,,True
448,3198554,YuGiOh,2016 Mega-Tins Mega Pack,Aromage Cananga,,MP16-EN070,Common,Near Mint 1st Edition,0.54,,1.39,0.4,5,0,0.99,,False
472,3198414,YuGiOh,2016 Mega-Tins Mega Pack,Cybernetic Fusion Support,,MP16-EN042,Common,Near Mint 1st Edition,0.27,,1.18,0.19,7,0,0.49,,False
